explanation_id,project_id,risk_score,top_delay_driver,driver_contribution_pct,recommended_action
EXP-000001,PRJ-03428,6.5,Pending approvals,5.0,Continue routine monitoring
EXP-000002,PRJ-02139,33.4,Compensation delay,10.4,Prioritize compensation processing
EXP-000003,PRJ-03745,32.1,Compensation delay,11.6,Prioritize compensation processing
EXP-000004,PRJ-02250,25.3,Rehabilitation delay,10.0,Accelerate rehabilitation workflow
EXP-000005,PRJ-04036,13.0,Pending approvals,6.4,Continue routine monitoring
EXP-000006,PRJ-04290,5.7,Pending approvals,5.0,Continue routine monitoring
EXP-000007,PRJ-02200,12.2,Stakeholder bottleneck,6.4,Continue routine monitoring
EXP-000008,PRJ-04439,29.3,Pending approvals,14.9,Prioritize compensation processing
EXP-000009,PRJ-03430,31.1,Compensation delay,16.8,Prioritize compensation processing
EXP-000010,PRJ-02206,24.5,Compensation delay,11.4,Prioritize compensation processing
EXP-000011,PRJ-02296,17.1,Rehabilitation delay,5.2,Accelerate rehabilitation workflow
EXP-000012,PRJ-01034,9.1,Pending approvals,5.0,Continue routine monitoring
EXP-000013,PRJ-03491,20.4,Incomplete documentation,8.7,Complete document verification
EXP-000014,PRJ-00812,13.3,Pending approvals,5.9,Continue routine monitoring
EXP-000015,PRJ-00576,16.3,Pending approvals,5.8,Continue routine monitoring
EXP-000016,PRJ-03483,15.8,Pending approvals,6.9,Continue routine monitoring
EXP-000017,PRJ-02071,20.7,Legal dispute,5.9,Escalate legal review
EXP-000018,PRJ-03984,21.7,Compensation delay,9.6,Prioritize compensation processing
EXP-000019,PRJ-02286,26.1,Incomplete documentation,13.0,Complete document verification
EXP-000020,PRJ-02730,25.0,Compensation delay,13.3,Prioritize compensation processing
EXP-000021,PRJ-02375,8.0,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000022,PRJ-04515,38.2,Legal dispute,14.7,Escalate legal review
EXP-000023,PRJ-00659,8.5,Pending approvals,5.0,Continue routine monitoring
EXP-000024,PRJ-01550,7.2,Pending approvals,5.0,Continue routine monitoring
EXP-000025,PRJ-02552,10.2,Pending approvals,5.0,Continue routine monitoring
EXP-000026,PRJ-04529,22.8,Pending approvals,9.3,Escalate pending approval
EXP-000027,PRJ-04948,6.6,Pending approvals,5.0,Continue routine monitoring
EXP-000028,PRJ-01656,3.5,Pending approvals,5.0,Continue routine monitoring
EXP-000029,PRJ-01509,24.7,Incomplete documentation,11.6,Complete document verification
EXP-000030,PRJ-03519,4.3,Pending approvals,5.0,Continue routine monitoring
EXP-000031,PRJ-00013,13.8,Pending approvals,7.5,Escalate pending approval
EXP-000032,PRJ-02571,21.3,Notification pending,5.7,Continue routine monitoring
EXP-000033,PRJ-04349,18.4,Rehabilitation delay,7.5,Accelerate rehabilitation workflow
EXP-000034,PRJ-00956,59.3,Compensation delay,31.8,Escalate legal review
EXP-000035,PRJ-00117,15.2,Pending approvals,5.9,Continue routine monitoring
EXP-000036,PRJ-04351,37.6,Pending approvals,19.4,Escalate legal review
EXP-000037,PRJ-04931,9.2,Pending approvals,5.0,Continue routine monitoring
EXP-000038,PRJ-00968,38.6,Pending approvals,10.0,Escalate legal review
EXP-000039,PRJ-01259,19.0,Rehabilitation delay,5.9,Accelerate rehabilitation workflow
EXP-000040,PRJ-01857,64.9,Pending approvals,31.7,Escalate legal review
EXP-000041,PRJ-03471,18.7,Rehabilitation delay,6.8,Accelerate rehabilitation workflow
EXP-000042,PRJ-02722,26.0,Legal dispute,13.7,Escalate legal review
EXP-000043,PRJ-04802,12.7,Possession pending,5.3,Continue routine monitoring
EXP-000044,PRJ-00410,11.7,Pending approvals,5.1,Continue routine monitoring
EXP-000045,PRJ-00408,18.6,Incomplete documentation,8.0,Complete document verification
EXP-000046,PRJ-04038,25.6,Pending approvals,6.8,Escalate pending approval
EXP-000047,PRJ-04420,8.5,Pending approvals,5.0,Continue routine monitoring
EXP-000048,PRJ-03723,13.7,Notification pending,5.7,Continue routine monitoring
EXP-000049,PRJ-02963,15.8,Pending approvals,8.1,Continue routine monitoring
